id|telefoonnummer|email|geboortedatum|voorletters|voornamen|achternaam|straatnaam|huisnummer|postcode|plaatsnaam
201|(4169) 645286|Anouk64@yahoo.com|1971-06-14|L|Lisa|Dijk|Haight-Ashbury|5600|1336XJ|Sloothuizen
202|3494755127|Ruben_Schouten@gmail.com|1955-01-02|S|Sven|Broek|Electric Avenue|7970|1317DK|Sloothuizen
203|06 8358 7583|Isa42@yahoo.com|1986-07-25|L|Lucas|Bruin|Broadway|7973|1324QK|Sloothuizen
204|(5170) 184431|Max.Dijkstra@hotmail.com|1971-11-27|L|Lieke|Hoek|Evergreen Terrace|4399|1386QR|Sloothuizen
205|(9491) 916794|Niels.Klein27@hotmail.com|1968-12-06|F W|Finn Willems|Sr.|Boudewijn de Eerste straat|9905|1388NW|Sloothuizen
206|06 2558 2285|Ruben67@yahoo.com|1967-10-16|J|Johannes|Wal|Portobello Road|4045|1326FO|Sloothuizen
207|5044333014|Jayden_Jacobs47@yahoo.com|1974-06-29|B I|Bsc Isa|Heuvel|La Rambla|9540|1323AS|Sloothuizen
208|06 3606 3084|Iris.Ruiter76@yahoo.com|1985-04-30|S|Sem|Bruin|42nd Street|663|1313MW|Sloothuizen
209|06 8089 1976|Luuk.Koning37@yahoo.com|1977-12-29|A|Anouk|Beek|Avenue des Champs-Élysées|1371|1371NU|Sloothuizen
210|(1772) 188208|Rick_Graaf@hotmail.com|1979-05-08|K|Kevin|Klein|Broadway|9584|1348IP|Sloothuizen
211|(7256) 960646|Tim_Hoek@yahoo.com|1976-11-01|L|Lisa|Linden|Penny Lane|223|1385LS|Sloothuizen
212|06 4969 8062|Sanne_Heuvel@hotmail.com|1956-01-25|N|Niels|Dekker|Charing Cross Road|7965|1382VJ|Sloothuizen
